n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
332,331,128,111,0.018,1.106686,0.02010685
333,332,128,111,0.078,1.106833,0.02386571
334,333,128,111,0.019,1.106970,0.01953885
335,334,128,111,0.018,1.107097,0.02251759
336,335,128,111,0.075,1.107093,0.02238328
337,336,128,111,0.018,1.107314,0.02255931
338,337,128,111,0.079,1.107403,0.02991328
339,338,128,111,0.017,1.107432,0.02531678
340,339,128,111,0.072,1.107479,0.02151878
341,340,128,111,0.018,1.107696,0.02644861
342,341,128,111,0.072,1.107970,0.02407298
343,342,128,111,0.018,1.108099,0.02568858
344,343,128,111,0.018,1.108144,0.02571689
345,344,128,111,0.075,1.108152,0.01938462
346,345,128,111,0.080,1.107823,0.02446742
347,346,128,111,0.019,1.107743,0.02482469
348,347,128,111,0.018,1.107726,0.02544313
349,348,128,111,0.074,1.107796,0.02433232
350,349,128,111,0.017,1.108010,0.01814579
351,350,128,111,0.079,1.108578,0.02512946
352,351,128,111,0.083,1.108534,0.02304155
353,352,128,111,0.017,1.108231,0.02617832
354,353,128,111,0.079,1.108442,0.02193057
355,354,128,111,0.017,1.108624,0.02488873
356,355,128,111,0.079,1.108786,0.01893674
357,356,128,111,0.017,1.108863,0.02304570
358,357,128,111,0.017,1.109182,0.02370343
359,358,128,111,0.077,1.109405,0.02981346
360,359,128,111,0.017,1.109624,0.02640009
361,360,128,111,0.079,1.109774,0.02821159
362,361,128,111,0.082,1.109888,0.02542940
363,362,128,111,0.018,1.110047,0.01640787
364,363,128,111,0.080,1.110184,0.01999572
365,364,128,111,0.017,1.110305,0.02790864
366,365,128,111,0.079,1.110095,0.01892094
367,366,128,111,0.017,1.110285,0.02143660
368,367,128,111,0.017,1.110107,0.02185217
369,368,128,111,0.077,1.110359,0.02087147
370,369,128,111,0.017,1.110343,0.02261214
371,370,128,111,0.080,1.109985,0.02482953
372,371,128,111,0.017,1.109962,0.01902867
373,372,128,111,0.080,1.110466,0.02079835
374,373,128,111,0.017,1.110658,0.03281803
375,374,128,111,0.075,1.110410,0.01615989
376,375,128,111,0.018,1.110502,0.02274461
377,376,128,111,0.077,1.110425,0.01565939
378,377,128,111,0.018,1.110121,0.01992629
379,378,128,111,0.073,1.110551,0.02268846
380,379,128,111,0.017,1.110551,0.02060994
381,380,128,111,0.074,1.110508,0.01743403
382,381,128,111,0.017,1.110354,0.02620692
383,382,128,111,0.017,1.110570,0.02529421
384,383,128,111,0.077,1.110122,0.01969968
385,384,128,111,0.017,1.110033,0.02510017
386,385,128,111,0.080,1.110052,0.01704219
387,386,128,111,0.017,1.110189,0.02228889
388,387,128,111,0.080,1.110541,0.01755148
389,388,128,111,0.017,1.110629,0.01725003
390,389,128,111,0.074,1.110601,0.02439053
391,390,128,111,0.018,1.110551,0.01773023
392,391,128,111,0.073,1.111052,0.01840612
393,392,128,111,0.018,1.110985,0.01747587
394,393,128,111,0.076,1.111029,0.01593417
395,394,128,111,0.017,1.111196,0.01537892
396,395,128,111,0.017,1.110883,0.02133093
397,396,128,111,0.075,1.111027,0.01879679
398,397,128,111,0.016,1.110886,0.02018414
399,398,128,111,0.081,1.110885,0.01492136
400,399,128,111,0.016,1.111157,0.01938407
401,400,128,111,0.070,1.110892,0.01775084
402,401,128,111,0.016,1.110328,0.01858940
403,402,128,111,0.076,1.110299,0.01766793
404,403,128,111,0.017,1.109939,0.02291553
405,404,128,111,0.016,1.109757,0.01632472
406,405,128,111,0.077,1.109546,0.03394608
407,406,128,111,0.017,1.109595,0.02037153
408,407,128,111,0.068,1.109385,0.01902080
409,408,128,111,0.017,1.109534,0.01946140
410,409,128,111,0.022,1.109546,0.01737481
411,410,128,111,0.068,1.109515,0.01894728
412,411,128,111,0.016,1.109684,0.01648519
413,412,128,111,0.080,1.109883,0.02036822
414,413,128,111,0.016,1.109922,0.02298130
415,414,128,111,0.076,1.109952,0.01782879
416,415,128,111,0.016,1.110006,0.01387230
417,416,128,111,0.070,1.110129,0.01553816
418,417,128,111,0.016,1.110139,0.01938289
419,418,128,111,0.081,1.110169,0.02492551
420,419,128,111,0.016,1.110244,0.02909271
421,420,128,111,0.081,1.110109,0.01881061
422,421,128,111,0.017,1.110312,0.02368225
423,422,128,111,0.080,1.110219,0.02106946
424,423,128,111,0.017,1.110155,0.01591689
425,424,128,111,0.079,1.110300,0.01996029
426,425,128,111,0.017,1.110041,0.02830849
427,426,128,111,0.016,1.110177,0.02682339
428,427,128,111,0.076,1.110228,0.02217908
429,428,128,111,0.016,1.110726,0.01730354
430,429,128,111,0.076,1.110505,0.01885526
431,430,128,111,0.016,1.110453,0.02456732
432,431,128,111,0.071,1.110672,0.01806854
433,432,128,111,0.016,1.110569,0.01332136
434,433,128,111,0.080,1.110441,0.01690803
435,434,128,111,0.016,1.110496,0.01962530
436,435,128,111,0.081,1.110564,0.03204419
437,436,128,111,0.017,1.110197,0.02462887
438,437,128,111,0.081,1.110517,0.01991840
439,438,128,111,0.017,1.110374,0.01879570
440,439,128,111,0.080,1.110293,0.01532567
441,440,128,111,0.017,1.110514,0.01790916
442,441,128,111,0.079,1.110590,0.02199663
443,442,128,111,0.018,1.110496,0.01579149
444,443,128,111,0.078,1.110663,0.01961238
445,444,128,111,0.017,1.110744,0.01656084
446,445,128,111,0.080,1.110358,0.02779485
