n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
253,252,128,111,0.209,3.489464,0.00263700
254,253,128,111,0.273,3.489851,0.00254662
255,254,128,111,0.209,3.489363,0.00240620
256,255,128,111,0.274,3.488326,0.00209881
257,256,128,111,0.200,3.488383,0.00283934
258,257,128,111,0.204,3.488703,0.00221876
259,258,128,111,0.274,3.488789,0.00329410
260,259,128,111,0.199,3.489278,0.00274881
261,260,128,111,0.207,3.489438,0.00240426
262,261,128,111,0.202,3.489532,0.00178504
263,262,128,111,0.206,3.489119,0.00201785
264,263,128,111,0.280,3.489932,0.00210681
265,264,128,111,0.204,3.489634,0.00254213
266,265,128,111,0.205,3.489328,0.00239112
267,266,128,111,0.205,3.489012,0.00215626
268,267,128,111,0.274,3.488845,0.00233645
269,268,128,111,0.199,3.488380,0.00204943
270,269,128,111,0.204,3.489084,0.00217948
271,270,128,111,0.273,3.489586,0.00201973
272,271,128,111,0.200,3.489325,0.00191308
273,272,128,111,0.206,3.489579,0.00233030
274,273,128,111,0.275,3.489779,0.00198946
275,274,128,111,0.208,3.489481,0.00198254
276,275,128,111,0.274,3.489892,0.00169813
277,276,128,111,0.199,3.489722,0.00172722
278,277,128,111,0.204,3.489380,0.00186562
